epoch,step,train_loss,val_acc1,val_acc2
0,49,4.109904766082764,,
0,99,3.517219066619873,,
0,149,3.350780963897705,,
0,199,2.7963790893554688,,
0,249,2.351313352584839,,
0,299,2.3976871967315674,,
0,349,2.2838051319122314,,
0,399,2.2867555618286133,,
0,421,,76.90933227539062,82.96800231933594
1,449,1.7557706832885742,,
1,499,2.069718360900879,,
1,549,1.7973225116729736,,
1,599,1.6934726238250732,,
1,649,1.4962189197540283,,
1,699,1.8132717609405518,,
1,749,1.4383608102798462,,
1,799,1.4222694635391235,,
1,843,,91.7760009765625,97.53600311279297
2,849,1.377096176147461,,
2,899,1.6100751161575317,,
2,949,1.3133444786071777,,
2,999,1.5361329317092896,,
2,1049,1.2772520780563354,,
2,1099,1.5131077766418457,,
2,1149,1.436164379119873,,
2,1199,1.101170539855957,,
2,1249,1.3910737037658691,,
2,1265,,98.73200225830078,102.10533142089844
3,1299,1.327702522277832,,
3,1349,1.29501211643219,,
3,1399,1.2719978094100952,,
3,1449,1.261563777923584,,
3,1499,1.2750201225280762,,
3,1549,0.9880256652832031,,
3,1599,1.1123625040054321,,
3,1649,0.9297686219215393,,
3,1687,,102.31866455078125,104.08399963378906
4,1699,1.0592094659805298,,
4,1749,1.0308170318603516,,
4,1799,1.2835571765899658,,
4,1849,1.0398476123809814,,
4,1899,1.2287366390228271,,
4,1949,1.0233173370361328,,
4,1999,1.1019915342330933,,
4,2049,0.9912972450256348,,
4,2099,1.1421250104904175,,
4,2109,,105.27200317382812,105.25066375732422
5,2149,1.0808640718460083,,
5,2199,1.0359593629837036,,
5,2249,1.146486759185791,,
5,2299,0.9894920587539673,,
5,2349,0.9666295051574707,,
5,2399,0.8404201865196228,,
5,2449,0.8702399730682373,,
5,2499,0.9028347134590149,,
5,2531,,106.55333709716797,107.97333526611328
6,2549,1.092175006866455,,
6,2599,0.8680423498153687,,
6,2649,0.9520047903060913,,
6,2699,0.9059514403343201,,
6,2749,0.7773470282554626,,
6,2799,0.8609537482261658,,
6,2849,0.8168970346450806,,
6,2899,0.9119020104408264,,
6,2949,0.9838584065437317,,
6,2953,,107.71733093261719,108.9000015258789
7,2999,0.9059308171272278,,
7,3049,0.9740588665008545,,
7,3099,0.9978897571563721,,
7,3149,0.8446853160858154,,
7,3199,0.8069208860397339,,
7,3249,0.8554257154464722,,
7,3299,0.9011905193328857,,
7,3349,0.9002805948257446,,
7,3375,,108.94266510009766,109.11199951171875
8,3399,0.8477897644042969,,
8,3449,0.8618072271347046,,
8,3499,0.9419052600860596,,
8,3549,1.0311357975006104,,
8,3599,0.7977613210678101,,
8,3649,0.8677371144294739,,
8,3699,0.8571401238441467,,
8,3749,0.8415916562080383,,
8,3797,,108.87866973876953,110.1893310546875
9,3799,0.7635478377342224,,
9,3849,0.7355875968933105,,
9,3899,0.8951186537742615,,
9,3949,0.7001851797103882,,
9,3999,0.8044412136077881,,
9,4049,0.9281861782073975,,
9,4099,0.7745335698127747,,
9,4149,0.6461672186851501,,
9,4199,0.7741214036941528,,
9,4219,,110.31600189208984,110.55999755859375
10,4249,0.8422078490257263,,
10,4299,0.7947350740432739,,
10,4349,0.7494440078735352,,
10,4399,0.7142494916915894,,
10,4449,0.9136885404586792,,
10,4499,0.7504063844680786,,
10,4549,0.8649560213088989,,
10,4599,0.8027735948562622,,
10,4641,,110.42933654785156,111.35733032226562
11,4649,0.608718991279602,,
11,4699,0.7544251084327698,,
11,4749,0.7424116134643555,,
11,4799,0.6313719153404236,,
11,4849,0.8619378805160522,,
11,4899,0.7694753408432007,,
11,4949,0.7079235315322876,,
